trade_date,tcp_id,exchange_ticker,cs_zscore,label
2024-12-24,10100885,NAUKRI,0.5388943561142614,4
2024-12-24,10101286,TATACONSUM,0.5459066604939046,4
2024-12-24,10102093,VBL,0.5851367074152203,4
2024-12-24,10100120,AUROPHARMA,0.5869334162801374,4
2024-12-24,10101331,TRENT,0.6083533101255065,4
2024-12-24,10101490,HFCL,0.6192750237448076,4
2024-12-24,10100006,AARTIIND,0.6468441123688672,5
2024-12-24,10100019,ADANIENT,0.6485541256048335,5
2024-12-24,10101562,LTF,0.7975869499387583,5
2024-12-24,10100204,BPCL,0.8493761111309921,5
2024-12-24,10100209,BRITANNIA,0.8498936564803765,5
2024-12-24,10101917,GUJGASLTD,0.8656263871547183,5
2024-12-24,10100625,ITC,0.886524654786435,5
2024-12-24,10102662,SBICARD,0.8978178214690105,5
2024-12-24,10101897,SYNGENE,0.9134117503833032,5
2024-12-24,10102893,SONACOMS,0.9701764579863278,5
2024-12-24,10100408,GAIL,0.9858432869806594,5
2024-12-24,10100886,NAVINFLUOR,1.0026297371449748,5
2024-12-24,10102072,ICICIPRULI,1.1014377270238231,5
2024-12-24,10103018,PAYTM,1.1120489118752843,5
2024-12-24,10100676,JUBLFOOD,1.1511636158084826,5
2024-12-24,10103006,NYKAA,1.2214035584601557,5
2024-12-24,10101998,CROMPTON,1.2549729149528337,5
2024-12-24,10101289,TATAMOTORS,1.2911884589878728,5
2024-12-24,10100469,GRANULES,1.3008154107609027,5
2024-12-24,10100788,POONAWALLA,1.3923955207540164,5
2024-12-24,10100533,HINDPETRO,1.4368850798526036,5
2024-12-24,10100157,BATAINDIA,1.4420583878642554,5
2024-12-24,10102372,BANDHANBNK,1.4485505361903839,5
2024-12-24,10102907,ZOMATO,1.4871522518008493,5
2024-12-24,10100174,BHARATFORG,1.5924481214578958,5
2024-12-24,10101347,TVSMOTOR,1.6438635057208366,5
2024-12-24,10102192,AUBANK,1.7096123073757834,5
2024-12-24,10101282,TATACHEM,2.0756241730907248,5
2024-12-24,10100187,BIOCON,2.303729404753759,5
2024-12-24,10101354,UBL,2.5386064474860657,5
2024-12-24,10101931,INDIGO,2.6006523939710235,5
2024-12-24,10100528,HINDCOPPER,3.669109334914282,5
2024-12-24,10102059,RBLBANK,4.434412749489875,5
