trade_date,tcp_id,exchange_ticker,RSI_7
2024-12-24,10100850,MOTHERSON,30.503153850888154
2024-12-24,10100855,MRF,44.50599611475205
2024-12-24,10101512,MUTHOOTFIN,42.794448995718724
2024-12-24,10100883,NATIONALUM,22.54685241282334
2024-12-24,10100885,NAUKRI,47.18769005257436
2024-12-24,10100886,NAVINFLUOR,28.272983825952647
2024-12-24,10100898,NESTLEIND,31.29209771160818
2024-12-24,10100904,NHPC,34.63948122469222
2024-12-24,10103006,NYKAA,32.58460023305032
2024-12-24,10100932,OBEROIRLTY,68.08227705716509
2024-12-24,10100934,OFSS,44.962335724753736
2024-12-24,10100935,OIL,22.01056283406107
2024-12-24,10100941,ONGC,21.065581836834472
2024-12-24,10100958,PAGEIND,66.27809091087569
2024-12-24,10103018,PAYTM,51.83620875639034
2024-12-24,10100986,PERSISTENT,43.828233244491514
2024-12-24,10100988,PETRONET,58.548620082746616
2024-12-24,10101005,PNB,23.025836850631904
2024-12-24,10103014,POLICYBZR,35.556318066009375
2024-12-24,10102530,POLYCAB,20.95093560995286
2024-12-24,10100788,POONAWALLA,25.746691021872607
2024-12-24,10101025,PRESTIGE,36.84451615694375
2024-12-24,10101042,PVRINOX,24.390392487957204
2024-12-24,10100786,RAMCOCEM,34.47583960487748
2024-12-24,10102059,RBLBANK,44.65053626698282
2024-12-24,10101080,RELIANCE,29.765798259757148
2024-12-24,10101117,SAIL,38.97747743440772
2024-12-24,10102662,SBICARD,27.259859531634472
2024-12-24,10101144,SBIN,20.25867084217511
2024-12-24,10101171,SHREECEM,34.82849459264787
2024-12-24,10102893,SONACOMS,22.248196121297287
2024-12-24,10101217,SRF,36.594503008606075
2024-12-24,10101247,SUNPHARMA,58.72018686416413
2024-12-24,10101249,SUNTV,24.06620471830742
2024-12-24,10101254,SUPREMEIND,37.57887816922503
2024-12-24,10101897,SYNGENE,30.360310280011262
2024-12-24,10101282,TATACHEM,43.85103146379663
2024-12-24,10101284,TATACOMM,20.22866914706028
2024-12-24,10101286,TATACONSUM,34.9099183765264
2024-12-24,10101289,TATAMOTORS,27.7613197205163
2024-12-24,10101293,TATASTEEL,22.28386836126664
2024-12-24,10101296,TCS,21.55624410170418
2024-12-24,10101297,TECHM,31.9360746908587
2024-12-24,10102277,TIINDIA,31.234523491914906
2024-12-24,10101322,TITAN,35.91634668562308
2024-12-24,10101328,TORNTPHARM,53.896436859912484
2024-12-24,10101331,TRENT,50.113266787465925
2024-12-24,10101347,TVSMOTOR,39.45695888746622
